X1,X2,X3,X4,X5,X6,classe
1,16,36,25,15,8,1
-1,21,34,33,22,9,1
-1,18,39,26,20,2,1
1,21,34,28,21,9,1
1,17,35,28,21,3,1
5,17,33,25,21,8,1
2,17,38,31,16,4,1
0,22,36,29,16,2,1
-1,19,39,28,20,1,1
3,22,36,29,17,2,1
6,23,36,32,19,1,1
-2,17,39,33,17,8,1
5,22,35,31,16,3,1
-1,19,32,33,18,6,1
1,20,39,33,20,6,1
-1,24,36,27,18,8,1
5,19,37,31,19,7,1
5,16,35,27,14,5,1
4,16,35,30,19,8,1
6,17,34,27,20,5,1
2,17,33,33,17,6,1
-1,18,40,25,18,8,1
0,16,33,30,22,4,1
2,18,36,28,14,9,1
-1,16,35,31,15,8,1
-2,20,34,28,22,6,1
6,24,32,27,14,1,1
5,21,39,31,16,2,1
1,16,39,26,17,5,1
6,21,33,30,15,6,1
5,22,37,32,20,9,1
-2,19,40,26,14,4,1
1,17,35,28,19,1,1
3,21,32,27,16,9,1
-1,17,34,28,17,2,1
4,16,38,31,19,4,1
-1,17,40,28,19,1,1
-1,21,33,33,19,7,1
3,19,36,27,14,5,1
-1,16,38,29,17,9,1
4,24,33,33,17,8,1
3,18,40,33,14,2,1
4,16,33,29,19,1,1
4,19,35,29,21,9,1
1,18,34,31,17,1,1
4,18,39,29,17,8,1
-2,18,40,30,21,7,1
3,19,34,25,18,3,1
5,22,32,30,15,6,1
0,19,38,27,21,1,1
5,18,35,28,22,2,1
5,18,33,30,14,4,1
4,22,35,33,15,8,1
-1,23,32,29,16,8,1
1,19,37,33,15,4,1
2,18,36,32,16,5,1
84,38,21,69,101,46,2
89,38,14,69,103,53,2
85,44,13,69,97,53,2
84,36,20,72,95,47,2
81,39,13,70,102,49,2
80,41,21,74,103,46,2
81,42,19,71,95,48,2
85,42,17,70,104,44,2
83,45,16,74,104,54,2
84,39,14,72,105,54,2
90,38,20,69,104,52,2
84,46,20,70,95,48,2
87,37,14,68,97,46,2
81,43,14,72,102,48,2
85,36,21,75,104,49,2
82,40,22,71,99,46,2
82,43,18,74,103,50,2
88,39,19,72,98,46,2
84,37,19,76,102,53,2
83,44,22,72,102,44,2
85,42,19,70,100,53,2
90,41,19,70,103,48,2
87,40,15,77,105,47,2
89,42,12,73,96,46,2
85,36,17,72,101,45,2
87,36,21,72,101,49,2
85,38,17,75,101,50,2
87,41,18,73,97,52,2
88,46,17,74,98,52,2
84,41,13,69,104,46,2
88,43,22,78,98,46,2
81,36,18,71,99,49,2
85,36,22,69,98,44,2
84,44,12,76,104,51,2
82,45,14,73,95,54,2
90,44,21,78,99,54,2
83,38,22,77,99,48,2
80,39,21,78,103,46,2
85,36,16,77,96,46,2
89,37,22,76,104,44,2
88,44,17,74,104,51,2
87,37,12,69,105,53,2
85,41,17,78,103,45,2
84,41,22,68,95,52,2
82,46,19,74,97,52,2
88,36,16,71,102,47,2
86,36,18,73,95,47,2
81,41,14,76,96,54,2
85,46,14,75,102,45,2
86,41,22,74,104,45,2
83,46,19,71,104,50,2
81,46,12,70,104,52,2
85,42,15,75,104,50,2
12,73,78,33,17,27,3
22,74,80,30,27,28,3
17,57,77,24,29,28,3
15,56,73,24,17,30,3
12,72,77,35,28,21,3
19,58,85,21,16,27,3
21,63,78,30,16,29,3
22,68,75,34,29,26,3
15,62,85,22,31,24,3
27,68,79,18,14,27,3
23,61,73,21,24,24,3
10,59,73,25,16,36,3
21,66,83,34,25,23,3
9,66,71,35,30,28,3
12,66,84,32,17,26,3
12,58,76,34,26,22,3
20,63,79,29,16,19,3
13,56,71,21,15,33,3
26,59,80,22,20,28,3
23,63,79,24,27,35,3
20,62,72,29,29,24,3
26,71,81,29,13,36,3
9,67,80,25,29,20,3
9,69,86,20,29,20,3
26,67,75,22,14,37,3
23,61,80,23,17,28,3
23,70,72,20,27,30,3
27,56,72,19,14,19,3
14,64,82,27,23,32,3
21,74,81,36,14,30,3
15,65,83,24,22,31,3
14,64,73,20,15,27,3
13,64,83,23,18,37,3
10,61,78,32,21,35,3
18,73,89,21,14,34,3
18,60,71,20,26,34,3
22,59,83,23,15,25,3
12,56,83,31,31,24,3
14,66,87,18,16,30,3
21,66,80,33,31,36,3
16,74,80,25,31,33,3
21,62,80,26,29,37,3
25,62,74,27,23,23,3
20,74,84,19,21,19,3
14,59,88,19,25,20,3
22,68,89,33,14,19,3
16,63,86,18,18,33,3
11,62,81,32,14,31,3
11,66,75,19,28,20,3
20,56,75,31,26,34,3
17,71,78,33,14,27,3
9,68,75,33,27,32,3
9,62,84,30,17,34,3
11,57,82,29,31,31,3
27,65,88,24,23,32,3
9,74,74,25,26,37,3
13,74,76,18,22,22,3
17,56,82,26,21,34,3
10,64,82,32,28,31,3
16,70,81,28,25,28,3
14,64,80,29,30,37,3
15,57,87,23,21,37,3
19,71,77,26,29,35,3
27,67,79,31,30,22,3
13,67,82,31,27,29,3
9,60,88,19,13,22,3
17,65,74,19,25,30,3
12,73,72,27,21,33,3
16,68,83,19,23,25,3
11,59,71,30,18,23,3
24,70,83,24,16,31,3
17,71,89,34,22,30,3
25,68,80,27,17,24,3
24,67,75,30,24,30,3
23,57,84,26,16,24,3
17,56,77,21,14,21,3
10,71,85,25,22,32,3
22,70,80,35,25,22,3
23,74,77,22,30,29,3
11,63,82,30,22,31,3
15,57,86,20,26,27,3
24,66,78,23,14,20,3
12,56,71,28,16,20,3
14,66,79,26,13,26,3
11,67,74,21,27,34,3
13,65,81,27,19,23,3
12,63,87,30,13,37,3
19,67,80,19,17,32,3
26,62,80,25,23,22,3
15,58,74,33,27,31,3
19,72,80,34,28,29,3
16,57,83,33,30,19,3
9,62,79,27,30,27,3
26,68,71,23,13,36,3
19,71,73,36,16,33,3
12,58,79,18,22,23,3
27,74,79,30,31,33,3
11,74,89,33,15,37,3
26,70,74,27,15,30,3
11,61,83,18,30,25,3
12,70,79,24,16,33,3
15,57,84,22,18,19,3
91,10,36,70,64,39,4
99,14,37,66,71,46,4
99,10,36,79,58,35,4
91,17,30,68,70,44,4
95,18,35,66,65,44,4
99,22,40,74,60,42,4
99,24,31,66,68,35,4
97,13,29,73,72,41,4
100,13,33,72,58,35,4
96,24,40,76,70,34,4
96,12,37,66,66,33,4
89,20,30,69,69,44,4
97,23,36,69,65,40,4
103,14,33,70,58,41,4
89,23,30,67,71,36,4
96,24,27,78,70,39,4
101,13,38,69,59,34,4
96,12,32,72,63,35,4
102,22,31,71,63,44,4
94,17,28,77,71,45,4
96,17,33,73,72,34,4
92,15,34,76,61,43,4
91,17,37,79,61,34,4
100,22,29,65,63,33,4
89,17,29,66,66,41,4
101,17,39,65,71,35,4
95,18,34,70,72,32,4
90,22,30,79,68,34,4
102,12,31,71,59,36,4
97,10,36,65,66,43,4
90,17,32,77,67,38,4
101,10,34,75,67,42,4
102,14,26,78,70,42,4
89,20,35,66,62,43,4
97,13,38,75,67,37,4
100,15,33,65,65,40,4
90,18,31,76,64,42,4
96,11,27,68,71,33,4
99,21,29,67,68,46,4
97,16,34,73,69,41,4
99,21,26,75,68,37,4
98,20,40,77,58,44,4
91,10,28,72,64,32,4
91,18,37,68,63,34,4
95,13,35,67,65,40,4
94,20,33,67,72,33,4
91,17,36,71,58,42,4
97,24,32,75,66,35,4
94,18,31,77,67,34,4
90,15,29,66,69,33,4
90,17,26,79,68,41,4
90,22,39,76,66,45,4
