X1,X2,X3,X4,X5,X6,classe
1,19,35,28,17,4,1
4,22,38,32,14,9,1
-2,16,39,29,21,5,1
-2,22,33,32,22,1,1
-1,16,33,26,16,7,1
0,18,36,26,20,9,1
-1,22,36,27,20,8,1
-1,24,33,26,20,2,1
4,18,35,25,15,2,1
0,18,35,31,22,3,1
3,23,32,29,15,4,1
1,23,35,32,17,2,1
1,23,35,25,16,2,1
6,22,38,31,21,9,1
-2,21,36,25,21,6,1
6,24,38,29,16,2,1
-2,16,34,32,17,1,1
4,23,32,26,16,5,1
-1,23,35,26,18,7,1
2,17,37,32,15,9,1
1,19,38,26,17,1,1
-2,24,32,28,20,3,1
5,16,36,28,15,5,1
-1,20,40,31,18,3,1
6,16,34,28,17,9,1
5,20,35,28,22,1,1
6,16,36,33,18,4,1
5,17,38,26,17,4,1
3,20,32,28,18,7,1
0,16,33,31,15,9,1
-1,20,37,27,16,3,1
2,20,40,32,14,6,1
-2,24,33,26,16,5,1
-2,16,35,25,14,3,1
0,20,34,32,19,4,1
3,16,38,26,20,9,1
-1,19,35,28,18,7,1
2,20,39,25,17,6,1
-1,23,33,27,22,6,1
0,21,38,29,20,7,1
5,19,33,31,14,8,1
0,23,32,27,19,6,1
-2,23,33,27,19,7,1
4,24,35,29,16,8,1
0,19,33,31,17,3,1
-1,20,37,25,21,3,1
-1,17,34,28,17,3,1
1,22,40,29,22,2,1
-1,20,33,33,19,9,1
3,20,39,33,22,3,1
4,21,33,29,20,3,1
6,19,33,25,21,8,1
-2,18,37,33,14,7,1
-2,17,39,32,20,9,1
-2,23,34,33,18,3,1
1,21,33,27,18,7,1
5,22,40,26,21,7,1
3,16,37,31,17,9,1
5,18,36,28,18,6,1
-1,19,39,25,20,7,1
4,18,33,27,22,2,1
3,18,35,29,16,9,1
2,21,33,27,15,1,1
6,24,37,30,16,4,1
4,20,32,25,14,7,1
3,17,36,26,16,4,1
1,24,36,26,17,4,1
1,17,40,31,15,5,1
-1,23,33,27,18,3,1
5,17,33,31,21,8,1
3,24,38,31,19,7,1
3,19,38,27,14,6,1
5,23,38,28,20,8,1
0,17,35,32,18,1,1
-1,22,40,26,16,8,1
1,20,35,31,19,4,1
0,17,32,29,14,8,1
0,20,39,32,20,3,1
-1,22,38,31,22,8,1
